,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
1460,Russia,2020,Man-in-the-Middle,IT,21.72,870019,Insider,Social Engineering,AI-based Detection,5
1461,Australia,2022,Malware,IT,93.2,941679,Hacker Group,Social Engineering,Antivirus,43
1462,France,2024,DDoS,Retail,88.17,738419,Unknown,Zero-day,Firewall,11
1463,Brazil,2018,Phishing,Retail,42.46,4136,Nation-state,Zero-day,Encryption,23
1464,India,2022,SQL Injection,Education,61.41,995847,Nation-state,Social Engineering,Encryption,1
1465,Japan,2022,Ransomware,Education,51.51,536995,Hacker Group,Weak Passwords,Encryption,3
1466,Germany,2016,Malware,Telecommunications,77.7,57200,Hacker Group,Social Engineering,VPN,26
1467,USA,2016,Phishing,Government,14.65,936566,Nation-state,Social Engineering,VPN,61
1468,Japan,2019,DDoS,Healthcare,68.4,567370,Insider,Unpatched Software,VPN,9
1469,India,2015,Malware,Banking,34.51,970056,Hacker Group,Unpatched Software,Firewall,30
1470,Brazil,2020,Ransomware,IT,71.74,3432,Hacker Group,Unpatched Software,AI-based Detection,45
1471,Brazil,2015,Malware,Education,37.54,49473,Insider,Social Engineering,Firewall,51
1472,France,2019,Man-in-the-Middle,IT,76.35,460984,Hacker Group,Zero-day,Firewall,55
1473,UK,2024,Phishing,IT,71.2,228010,Nation-state,Social Engineering,Antivirus,59
1474,Russia,2024,Ransomware,Government,48.88,172789,Hacker Group,Unpatched Software,VPN,10
1475,China,2020,Man-in-the-Middle,Retail,48.24,338732,Nation-state,Unpatched Software,Firewall,15
1476,Germany,2017,Ransomware,Healthcare,32.0,175755,Insider,Weak Passwords,Firewall,30
1477,Brazil,2023,DDoS,Education,50.34,897521,Nation-state,Social Engineering,AI-based Detection,19
1478,Russia,2016,Ransomware,Healthcare,5.18,719532,Insider,Unpatched Software,VPN,10
1479,Australia,2024,DDoS,Government,95.28,583925,Insider,Zero-day,Encryption,70
1480,Russia,2016,Phishing,Retail,70.4,480522,Unknown,Zero-day,Antivirus,72
1481,Brazil,2015,SQL Injection,IT,47.2,16957,Unknown,Zero-day,Firewall,49
1482,France,2016,Ransomware,IT,29.35,316228,Unknown,Unpatched Software,VPN,7
1483,Australia,2018,SQL Injection,Banking,20.28,363414,Insider,Unpatched Software,Antivirus,59
1484,UK,2015,Man-in-the-Middle,Telecommunications,71.9,733671,Insider,Zero-day,VPN,20
1485,France,2019,SQL Injection,Telecommunications,27.91,399457,Nation-state,Weak Passwords,Firewall,48
1486,China,2017,DDoS,Government,57.34,171772,Nation-state,Social Engineering,Firewall,8
1487,USA,2015,Phishing,Government,82.4,197305,Insider,Unpatched Software,AI-based Detection,34
1488,Russia,2023,Ransomware,Healthcare,15.08,677971,Insider,Social Engineering,VPN,51
1489,India,2021,Man-in-the-Middle,Banking,55.12,942454,Hacker Group,Social Engineering,VPN,66
1490,Russia,2022,Ransomware,Government,38.84,211205,Insider,Unpatched Software,Antivirus,54
1491,Japan,2024,Malware,Telecommunications,42.79,483399,Insider,Zero-day,Antivirus,50
1492,China,2016,DDoS,Telecommunications,97.83,699791,Nation-state,Weak Passwords,Encryption,2
1493,Germany,2019,Phishing,Education,10.04,679314,Nation-state,Unpatched Software,Antivirus,39
1494,Brazil,2020,SQL Injection,Retail,96.97,466897,Insider,Unpatched Software,VPN,58
1495,Brazil,2024,SQL Injection,Healthcare,41.05,175957,Hacker Group,Zero-day,Antivirus,69
1496,India,2019,Ransomware,Government,10.37,912202,Nation-state,Weak Passwords,VPN,15
1497,Russia,2019,DDoS,Education,33.73,985398,Nation-state,Social Engineering,Antivirus,54
1498,China,2023,SQL Injection,Education,4.18,715127,Nation-state,Weak Passwords,Antivirus,60
1499,USA,2021,Malware,Retail,72.24,472835,Hacker Group,Unpatched Software,Encryption,57
1500,Australia,2016,DDoS,Healthcare,98.25,412019,Unknown,Weak Passwords,Antivirus,34
1501,India,2021,SQL Injection,Retail,85.69,172469,Insider,Weak Passwords,Antivirus,16
1502,UK,2015,Phishing,Banking,39.12,893284,Unknown,Unpatched Software,AI-based Detection,21
1503,India,2021,Malware,Telecommunications,82.66,586,Hacker Group,Zero-day,VPN,23
1504,Japan,2017,Phishing,IT,49.12,845169,Nation-state,Social Engineering,VPN,1
1505,Germany,2018,Ransomware,Government,89.36,184748,Unknown,Unpatched Software,Firewall,4
1506,Japan,2021,Malware,Healthcare,77.84,783976,Nation-state,Weak Passwords,Firewall,62
1507,France,2015,Phishing,IT,49.84,282583,Unknown,Weak Passwords,VPN,15
1508,Germany,2020,SQL Injection,Healthcare,96.31,591828,Unknown,Unpatched Software,Encryption,16
1509,India,2018,SQL Injection,Government,18.44,27344,Nation-state,Zero-day,VPN,1
1510,Australia,2024,Ransomware,Healthcare,18.16,200307,Unknown,Social Engineering,Antivirus,59
1511,China,2018,Man-in-the-Middle,IT,68.28,528411,Insider,Zero-day,AI-based Detection,10
1512,France,2015,Phishing,Banking,95.72,551812,Insider,Weak Passwords,Encryption,69
1513,Brazil,2019,SQL Injection,Education,96.6,975019,Unknown,Unpatched Software,Firewall,38
1514,China,2015,DDoS,Government,97.15,399851,Nation-state,Social Engineering,VPN,38
1515,India,2024,Ransomware,Government,79.3,998833,Hacker Group,Social Engineering,Firewall,21
1516,France,2017,Man-in-the-Middle,Education,76.35,517640,Hacker Group,Unpatched Software,Firewall,4
1517,Russia,2023,DDoS,Banking,33.51,615332,Hacker Group,Social Engineering,AI-based Detection,65
1518,France,2017,SQL Injection,Healthcare,96.08,592364,Insider,Weak Passwords,Antivirus,21
1519,China,2020,Phishing,Education,33.69,943680,Insider,Zero-day,AI-based Detection,46
1520,Brazil,2017,Man-in-the-Middle,Retail,17.99,506551,Unknown,Unpatched Software,Antivirus,53
1521,Japan,2022,Ransomware,Government,86.84,122651,Insider,Weak Passwords,AI-based Detection,59
1522,USA,2018,Man-in-the-Middle,Retail,97.62,459039,Nation-state,Weak Passwords,Firewall,68
1523,Germany,2021,Ransomware,IT,25.85,176331,Insider,Weak Passwords,Antivirus,25
1524,USA,2018,Ransomware,Healthcare,27.37,543437,Unknown,Unpatched Software,Firewall,20
1525,Germany,2022,SQL Injection,Telecommunications,29.02,859311,Insider,Zero-day,AI-based Detection,47
1526,USA,2018,DDoS,Retail,90.78,877041,Unknown,Unpatched Software,VPN,48
1527,France,2022,Ransomware,Healthcare,42.33,657939,Nation-state,Social Engineering,Antivirus,47
1528,Japan,2019,DDoS,Banking,81.89,920270,Nation-state,Unpatched Software,Antivirus,20
1529,USA,2015,Ransomware,Healthcare,43.81,905935,Unknown,Unpatched Software,VPN,60
1530,Australia,2019,Malware,Telecommunications,93.71,217863,Insider,Unpatched Software,VPN,31
1531,UK,2020,Man-in-the-Middle,Government,54.29,930468,Insider,Social Engineering,AI-based Detection,35
1532,Japan,2022,Phishing,Healthcare,55.72,179545,Unknown,Zero-day,Encryption,15
1533,India,2023,Ransomware,Retail,5.57,582097,Insider,Weak Passwords,Antivirus,40
1534,France,2023,SQL Injection,Banking,48.1,360752,Unknown,Zero-day,Antivirus,21
1535,India,2020,Phishing,Retail,25.79,907128,Insider,Unpatched Software,Antivirus,13
1536,UK,2024,Man-in-the-Middle,Banking,14.84,817793,Hacker Group,Social Engineering,VPN,64
1537,China,2024,Malware,Healthcare,85.76,922209,Nation-state,Zero-day,Antivirus,27
1538,USA,2019,DDoS,Retail,18.76,411707,Insider,Social Engineering,VPN,42
1539,India,2020,Phishing,Healthcare,38.19,847958,Insider,Weak Passwords,Firewall,32
1540,India,2015,Man-in-the-Middle,Banking,38.1,187807,Nation-state,Unpatched Software,VPN,37
1541,China,2024,SQL Injection,Telecommunications,10.18,637350,Unknown,Weak Passwords,Antivirus,52
1542,China,2024,SQL Injection,IT,36.27,237068,Hacker Group,Zero-day,Encryption,65
1543,Australia,2022,Ransomware,Government,92.07,819812,Nation-state,Unpatched Software,Encryption,63
1544,Brazil,2023,SQL Injection,Healthcare,72.9,434510,Hacker Group,Social Engineering,Firewall,72
1545,USA,2019,DDoS,Telecommunications,57.52,513601,Nation-state,Unpatched Software,VPN,14
1546,Japan,2015,Malware,Healthcare,5.79,821803,Unknown,Social Engineering,Firewall,40
1547,Russia,2020,Man-in-the-Middle,IT,14.68,12585,Unknown,Zero-day,Antivirus,30
1548,Russia,2020,Man-in-the-Middle,Telecommunications,10.12,405253,Hacker Group,Unpatched Software,Antivirus,52
1549,Japan,2017,DDoS,IT,86.89,703035,Unknown,Unpatched Software,Firewall,15
1550,Australia,2022,Phishing,Government,9.84,580402,Nation-state,Social Engineering,VPN,70
1551,France,2017,Man-in-the-Middle,Education,49.94,640572,Hacker Group,Social Engineering,Firewall,51
1552,Japan,2023,Phishing,Banking,75.13,85528,Hacker Group,Social Engineering,VPN,55
1553,UK,2024,Malware,Healthcare,33.21,79940,Unknown,Zero-day,Firewall,64
1554,China,2023,SQL Injection,Telecommunications,54.41,215401,Hacker Group,Social Engineering,VPN,50
1555,France,2018,Malware,IT,59.56,450313,Nation-state,Zero-day,AI-based Detection,26
1556,Australia,2016,Malware,Retail,45.71,461668,Nation-state,Unpatched Software,Firewall,10
1557,France,2021,Man-in-the-Middle,Banking,4.94,71156,Insider,Social Engineering,Encryption,34
1558,India,2017,Ransomware,Government,89.47,201732,Unknown,Zero-day,Antivirus,39
1559,Russia,2018,Man-in-the-Middle,Government,45.91,322132,Nation-state,Weak Passwords,Encryption,44
1560,Japan,2021,Phishing,Banking,82.85,854309,Insider,Zero-day,Antivirus,16
1561,USA,2016,Phishing,Retail,89.85,998085,Insider,Zero-day,VPN,7
1562,France,2018,Malware,IT,10.81,479628,Insider,Weak Passwords,VPN,13
1563,Russia,2022,Malware,Healthcare,34.32,554162,Insider,Weak Passwords,Encryption,33
1564,USA,2022,Phishing,Government,92.54,653402,Hacker Group,Social Engineering,Firewall,5
1565,UK,2016,Man-in-the-Middle,Government,62.9,119785,Hacker Group,Unpatched Software,Encryption,14
1566,Germany,2018,DDoS,Banking,48.76,754656,Hacker Group,Unpatched Software,VPN,35
1567,USA,2016,Malware,Retail,41.11,848855,Unknown,Unpatched Software,VPN,37
1568,China,2021,SQL Injection,Healthcare,57.2,328454,Nation-state,Zero-day,VPN,10
1569,Russia,2018,DDoS,Education,13.13,510702,Hacker Group,Weak Passwords,Firewall,15
1570,Australia,2015,Man-in-the-Middle,Education,20.96,248083,Hacker Group,Social Engineering,Encryption,70
1571,Brazil,2023,DDoS,Government,42.75,746425,Unknown,Zero-day,VPN,24
1572,Japan,2018,Ransomware,Education,82.89,336607,Unknown,Zero-day,AI-based Detection,17
1573,Brazil,2021,Ransomware,Government,21.21,570810,Insider,Social Engineering,Firewall,72
1574,France,2020,Malware,Banking,12.25,162930,Insider,Unpatched Software,Firewall,13
1575,Japan,2015,SQL Injection,Education,61.87,244406,Nation-state,Social Engineering,VPN,43
1576,Japan,2016,DDoS,Education,71.12,604557,Nation-state,Social Engineering,Encryption,20
1577,Germany,2024,Man-in-the-Middle,Education,26.58,313397,Hacker Group,Social Engineering,AI-based Detection,36
1578,Australia,2023,Malware,Retail,5.24,696902,Nation-state,Unpatched Software,Encryption,21
1579,UK,2024,Phishing,Banking,30.39,156576,Hacker Group,Unpatched Software,VPN,72
1580,UK,2020,Phishing,Healthcare,66.55,843310,Hacker Group,Zero-day,Antivirus,71
1581,China,2016,DDoS,Telecommunications,83.02,281862,Insider,Social Engineering,AI-based Detection,4
1582,India,2024,Ransomware,IT,88.23,526308,Insider,Unpatched Software,Antivirus,23
1583,Russia,2018,DDoS,IT,5.18,826924,Insider,Social Engineering,VPN,35
1584,China,2024,DDoS,IT,13.77,928751,Insider,Social Engineering,Encryption,26
1585,China,2021,Ransomware,Education,21.9,304804,Hacker Group,Weak Passwords,AI-based Detection,53
1586,Brazil,2024,Man-in-the-Middle,Education,34.42,960625,Nation-state,Weak Passwords,Firewall,48
1587,France,2019,Ransomware,Government,57.9,264088,Unknown,Weak Passwords,AI-based Detection,28
1588,Australia,2022,Phishing,Healthcare,61.97,633750,Insider,Unpatched Software,Antivirus,45
1589,China,2021,Ransomware,Healthcare,56.11,255531,Unknown,Social Engineering,Firewall,17
1590,Australia,2018,Ransomware,Banking,50.64,874035,Insider,Unpatched Software,Antivirus,38
1591,USA,2017,DDoS,Healthcare,64.99,632431,Insider,Zero-day,VPN,55
1592,Brazil,2018,Ransomware,Education,69.04,939146,Nation-state,Zero-day,Firewall,56
1593,India,2022,Man-in-the-Middle,Retail,13.82,633855,Hacker Group,Social Engineering,Antivirus,37
1594,Australia,2016,Malware,Government,22.48,686176,Nation-state,Zero-day,Firewall,62
1595,China,2022,Malware,Retail,11.31,561807,Unknown,Zero-day,Antivirus,17
1596,India,2023,SQL Injection,Government,60.53,15768,Unknown,Zero-day,VPN,66
1597,Germany,2019,Malware,Healthcare,98.45,32423,Hacker Group,Weak Passwords,Antivirus,45
1598,China,2021,SQL Injection,IT,97.06,329378,Nation-state,Weak Passwords,VPN,61
1599,India,2020,Phishing,Healthcare,64.7,541451,Hacker Group,Weak Passwords,Encryption,17
1600,China,2020,Man-in-the-Middle,Education,1.05,255393,Unknown,Unpatched Software,Encryption,71
1601,Japan,2017,Phishing,Government,89.97,141115,Hacker Group,Zero-day,AI-based Detection,9
1602,India,2015,Man-in-the-Middle,Telecommunications,48.58,358210,Nation-state,Zero-day,AI-based Detection,11
1603,Japan,2023,Man-in-the-Middle,Education,16.42,60322,Insider,Zero-day,VPN,22
1604,China,2019,Ransomware,Government,15.42,555153,Unknown,Zero-day,Encryption,11
1605,India,2018,SQL Injection,Healthcare,47.15,98266,Insider,Social Engineering,Firewall,18
1606,Russia,2019,Man-in-the-Middle,IT,52.8,633511,Insider,Zero-day,VPN,58
1607,UK,2015,Man-in-the-Middle,Banking,64.88,976213,Unknown,Social Engineering,Firewall,28
1608,Brazil,2016,DDoS,Telecommunications,94.1,838739,Unknown,Social Engineering,VPN,21
1609,China,2023,Ransomware,IT,23.18,367503,Nation-state,Weak Passwords,Encryption,17
1610,China,2018,Ransomware,Education,17.44,598614,Insider,Social Engineering,VPN,59
1611,France,2022,Phishing,Retail,22.72,629571,Hacker Group,Unpatched Software,VPN,41
1612,Japan,2021,Man-in-the-Middle,Education,69.99,834355,Nation-state,Unpatched Software,AI-based Detection,71
1613,USA,2020,Man-in-the-Middle,IT,87.88,731495,Nation-state,Unpatched Software,Antivirus,3
1614,UK,2020,SQL Injection,Retail,69.91,354637,Insider,Social Engineering,VPN,63
1615,USA,2020,Ransomware,Banking,27.45,60428,Nation-state,Weak Passwords,Antivirus,27
1616,China,2024,DDoS,Retail,13.17,95351,Nation-state,Unpatched Software,Antivirus,11
1617,Brazil,2020,Phishing,Retail,50.99,826159,Insider,Weak Passwords,VPN,3
1618,France,2020,SQL Injection,Healthcare,66.92,234301,Insider,Zero-day,AI-based Detection,32
1619,UK,2020,Phishing,Healthcare,39.47,551014,Nation-state,Social Engineering,Firewall,71
1620,Brazil,2017,SQL Injection,Telecommunications,4.35,809757,Nation-state,Social Engineering,VPN,61
1621,UK,2017,Malware,Healthcare,24.06,612319,Unknown,Social Engineering,Antivirus,47
1622,UK,2015,Phishing,Telecommunications,21.8,312051,Nation-state,Unpatched Software,VPN,41
1623,USA,2018,Phishing,Banking,89.74,279786,Insider,Zero-day,VPN,46
1624,Australia,2016,Phishing,Government,72.34,847817,Hacker Group,Social Engineering,Firewall,13
1625,Australia,2016,Man-in-the-Middle,Education,37.48,382682,Nation-state,Zero-day,Firewall,12
1626,USA,2021,Phishing,IT,38.2,159917,Insider,Zero-day,Antivirus,47
1627,France,2023,Man-in-the-Middle,Government,85.85,841548,Unknown,Zero-day,Firewall,68
1628,Japan,2017,DDoS,Healthcare,5.5,751586,Nation-state,Social Engineering,AI-based Detection,24
1629,Germany,2024,Man-in-the-Middle,Banking,53.51,680154,Nation-state,Zero-day,Firewall,2
1630,France,2023,Phishing,Education,37.38,978508,Insider,Weak Passwords,Firewall,42
1631,Germany,2020,Man-in-the-Middle,IT,84.55,392247,Unknown,Zero-day,Antivirus,7
1632,Russia,2023,SQL Injection,Retail,34.87,446911,Unknown,Weak Passwords,Firewall,25
1633,Australia,2023,Ransomware,IT,17.26,777799,Insider,Weak Passwords,Firewall,2
1634,Australia,2016,Ransomware,Healthcare,82.99,799581,Nation-state,Zero-day,AI-based Detection,50
1635,Germany,2015,Man-in-the-Middle,Retail,85.34,819676,Hacker Group,Zero-day,Antivirus,59
1636,Japan,2023,SQL Injection,Telecommunications,31.46,192430,Nation-state,Unpatched Software,AI-based Detection,49
1637,UK,2016,DDoS,Telecommunications,74.5,735,Hacker Group,Unpatched Software,Firewall,69
1638,USA,2023,Ransomware,Healthcare,12.79,654947,Insider,Social Engineering,Encryption,23
1639,USA,2018,DDoS,Banking,10.01,327826,Hacker Group,Social Engineering,AI-based Detection,35
1640,France,2016,Man-in-the-Middle,Healthcare,23.99,106126,Unknown,Weak Passwords,Antivirus,19
1641,Russia,2022,Man-in-the-Middle,IT,34.57,46493,Insider,Unpatched Software,Encryption,62
1642,Japan,2021,Man-in-the-Middle,Education,15.78,733307,Nation-state,Social Engineering,Firewall,29
1643,France,2015,Malware,Government,71.91,789673,Unknown,Weak Passwords,Antivirus,31
1644,China,2017,Ransomware,Education,64.93,159061,Insider,Weak Passwords,Firewall,12
1645,China,2020,Phishing,Education,6.35,80748,Hacker Group,Zero-day,Encryption,8
1646,UK,2020,Man-in-the-Middle,IT,85.85,697536,Unknown,Social Engineering,AI-based Detection,72
1647,Brazil,2019,SQL Injection,Healthcare,46.5,748146,Insider,Weak Passwords,AI-based Detection,13
1648,Russia,2020,Man-in-the-Middle,Telecommunications,64.39,803579,Unknown,Weak Passwords,VPN,1
1649,France,2021,Phishing,Retail,13.47,537683,Insider,Unpatched Software,VPN,41
1650,France,2020,DDoS,Retail,40.72,743271,Nation-state,Social Engineering,Firewall,10
1651,Australia,2018,Malware,Telecommunications,36.01,215231,Unknown,Zero-day,AI-based Detection,49
1652,UK,2022,Phishing,Banking,57.89,135941,Nation-state,Social Engineering,AI-based Detection,7
1653,USA,2017,Phishing,IT,7.95,362478,Hacker Group,Zero-day,Encryption,67
1654,Russia,2022,DDoS,Education,13.89,537149,Nation-state,Unpatched Software,VPN,54
1655,China,2016,SQL Injection,Retail,96.28,162061,Insider,Zero-day,Firewall,32
1656,China,2016,Ransomware,Banking,94.63,455702,Hacker Group,Weak Passwords,Antivirus,5
1657,UK,2021,Ransomware,Telecommunications,13.26,448367,Nation-state,Social Engineering,AI-based Detection,7
1658,France,2019,Malware,Retail,21.92,603904,Nation-state,Unpatched Software,Firewall,38
1659,France,2016,Malware,IT,81.81,331741,Hacker Group,Social Engineering,Antivirus,29
1660,Japan,2023,Ransomware,Education,58.79,983506,Hacker Group,Social Engineering,AI-based Detection,35
1661,China,2015,Phishing,Retail,14.72,914743,Insider,Social Engineering,AI-based Detection,69
1662,Germany,2022,Malware,Banking,59.7,258587,Insider,Social Engineering,VPN,7
1663,Brazil,2020,Man-in-the-Middle,Retail,16.26,527964,Insider,Zero-day,Firewall,28
1664,Brazil,2015,Phishing,Banking,29.61,593384,Unknown,Zero-day,Firewall,65
1665,UK,2023,Malware,IT,82.38,386972,Insider,Unpatched Software,AI-based Detection,56
1666,China,2017,DDoS,Healthcare,96.49,644339,Insider,Unpatched Software,Antivirus,71
1667,Brazil,2024,DDoS,Healthcare,76.39,782425,Insider,Weak Passwords,Encryption,13
1668,Russia,2024,SQL Injection,Banking,79.98,84185,Nation-state,Weak Passwords,VPN,2
1669,UK,2022,Malware,Healthcare,91.65,337120,Insider,Weak Passwords,Firewall,59
1670,UK,2020,Phishing,Banking,3.84,241282,Hacker Group,Social Engineering,Encryption,55
1671,China,2023,DDoS,Healthcare,97.15,734819,Unknown,Unpatched Software,AI-based Detection,50
1672,Australia,2024,DDoS,Healthcare,77.04,8517,Hacker Group,Weak Passwords,Encryption,4
1673,UK,2018,Man-in-the-Middle,Government,91.52,865257,Nation-state,Social Engineering,VPN,19
1674,Germany,2023,SQL Injection,Education,37.4,662428,Insider,Weak Passwords,AI-based Detection,4
1675,China,2020,Malware,Healthcare,11.89,646567,Insider,Unpatched Software,VPN,15
1676,USA,2019,DDoS,Telecommunications,43.29,266748,Unknown,Unpatched Software,Antivirus,30
1677,USA,2022,Ransomware,Retail,92.88,771367,Hacker Group,Social Engineering,Firewall,5
1678,USA,2020,DDoS,Banking,99.81,948174,Unknown,Social Engineering,AI-based Detection,4
1679,Brazil,2017,DDoS,Healthcare,62.74,460264,Unknown,Social Engineering,Firewall,9
1680,USA,2017,DDoS,Government,96.89,794147,Unknown,Unpatched Software,Antivirus,4
1681,France,2015,SQL Injection,IT,43.86,72222,Unknown,Weak Passwords,Firewall,64
1682,France,2020,DDoS,Telecommunications,66.27,995231,Nation-state,Weak Passwords,Firewall,53
1683,Japan,2021,Malware,Retail,90.8,841766,Nation-state,Social Engineering,AI-based Detection,16
1684,Russia,2015,Man-in-the-Middle,IT,95.04,566542,Unknown,Weak Passwords,Firewall,58
1685,UK,2022,Malware,Healthcare,12.67,781284,Hacker Group,Weak Passwords,Firewall,11
1686,UK,2021,Phishing,IT,89.59,361270,Nation-state,Weak Passwords,VPN,31
1687,India,2022,Malware,Telecommunications,97.03,404834,Hacker Group,Zero-day,VPN,62
1688,China,2023,DDoS,Government,53.46,374484,Unknown,Unpatched Software,Antivirus,46
1689,Australia,2020,SQL Injection,IT,21.02,681476,Unknown,Weak Passwords,VPN,6
1690,India,2019,SQL Injection,Retail,15.39,514826,Hacker Group,Unpatched Software,Firewall,72
1691,Japan,2022,Malware,Education,97.32,742866,Nation-state,Social Engineering,Encryption,61
1692,UK,2016,Ransomware,Healthcare,61.66,639896,Hacker Group,Social Engineering,VPN,63
1693,Australia,2022,SQL Injection,IT,15.29,42346,Hacker Group,Unpatched Software,VPN,33
1694,Japan,2019,Malware,Telecommunications,5.88,235399,Unknown,Social Engineering,Antivirus,21
1695,USA,2015,Man-in-the-Middle,Retail,24.93,448426,Nation-state,Weak Passwords,VPN,36
1696,France,2020,Ransomware,Retail,97.37,467137,Nation-state,Social Engineering,Encryption,14
1697,Japan,2017,SQL Injection,Education,11.49,364107,Hacker Group,Social Engineering,AI-based Detection,28
1698,India,2022,Man-in-the-Middle,Government,4.05,357898,Hacker Group,Social Engineering,Firewall,27
1699,China,2016,DDoS,Banking,76.9,605118,Insider,Social Engineering,Firewall,30
1700,Russia,2022,Man-in-the-Middle,Education,96.44,106169,Nation-state,Unpatched Software,Encryption,28
1701,France,2016,Ransomware,Healthcare,34.29,157547,Insider,Unpatched Software,AI-based Detection,29
1702,Brazil,2022,SQL Injection,Healthcare,56.63,242677,Insider,Social Engineering,Encryption,21
1703,China,2016,SQL Injection,Banking,63.67,385872,Insider,Zero-day,Firewall,50
1704,Germany,2018,DDoS,Retail,80.85,148209,Insider,Weak Passwords,Antivirus,54
1705,Japan,2022,DDoS,Healthcare,9.5,387457,Nation-state,Weak Passwords,VPN,61
1706,Russia,2023,Malware,IT,47.22,404004,Nation-state,Social Engineering,Encryption,58
1707,UK,2018,Ransomware,Retail,28.98,981029,Nation-state,Weak Passwords,Antivirus,42
1708,France,2017,Malware,Telecommunications,96.63,389525,Unknown,Zero-day,Antivirus,32
1709,India,2019,SQL Injection,IT,43.97,764974,Nation-state,Weak Passwords,VPN,18
1710,India,2017,Man-in-the-Middle,Healthcare,91.4,621971,Nation-state,Weak Passwords,AI-based Detection,49
1711,Brazil,2024,SQL Injection,IT,53.71,680584,Insider,Zero-day,AI-based Detection,5
1712,China,2018,SQL Injection,Education,15.36,907858,Nation-state,Social Engineering,Encryption,47
1713,Russia,2021,SQL Injection,Banking,80.68,983047,Hacker Group,Unpatched Software,Antivirus,19
1714,France,2015,Malware,Government,17.3,610049,Hacker Group,Social Engineering,AI-based Detection,37
1715,India,2021,SQL Injection,IT,52.16,100105,Unknown,Zero-day,Firewall,56
1716,USA,2023,SQL Injection,Government,89.46,59398,Hacker Group,Zero-day,Antivirus,8
1717,USA,2023,Malware,Banking,35.91,91974,Hacker Group,Zero-day,AI-based Detection,41
1718,Brazil,2019,Ransomware,Healthcare,9.32,785564,Insider,Unpatched Software,Antivirus,70
1719,China,2023,Phishing,Banking,15.21,597516,Nation-state,Unpatched Software,Antivirus,15
1720,UK,2019,Ransomware,IT,17.98,799372,Hacker Group,Zero-day,AI-based Detection,14
1721,France,2018,SQL Injection,Banking,32.84,77096,Unknown,Weak Passwords,VPN,29
1722,Brazil,2023,Man-in-the-Middle,Retail,59.18,610786,Nation-state,Social Engineering,AI-based Detection,31
1723,Japan,2021,SQL Injection,Telecommunications,28.33,667271,Insider,Weak Passwords,Firewall,22
1724,China,2023,Phishing,Banking,33.27,133315,Nation-state,Weak Passwords,AI-based Detection,25
1725,Brazil,2019,SQL Injection,Government,24.93,381105,Unknown,Weak Passwords,Encryption,3
1726,UK,2020,Ransomware,Banking,98.07,795120,Unknown,Social Engineering,Firewall,42
1727,Russia,2017,SQL Injection,Healthcare,67.13,198285,Nation-state,Unpatched Software,Encryption,56
1728,India,2023,DDoS,Government,34.46,580270,Unknown,Unpatched Software,Firewall,35
1729,UK,2018,Ransomware,Retail,45.67,277410,Hacker Group,Social Engineering,Firewall,42
1730,Australia,2022,Man-in-the-Middle,Government,38.29,793946,Nation-state,Weak Passwords,Firewall,12
1731,Australia,2019,Ransomware,Banking,15.21,126770,Insider,Weak Passwords,Encryption,67
1732,Australia,2016,Phishing,IT,55.18,66776,Unknown,Zero-day,Encryption,29
1733,China,2018,DDoS,Telecommunications,83.5,434797,Insider,Social Engineering,Antivirus,21
1734,France,2024,SQL Injection,Retail,3.07,901137,Nation-state,Zero-day,Antivirus,10
1735,Australia,2020,Man-in-the-Middle,Banking,34.59,427407,Unknown,Unpatched Software,Encryption,47
1736,USA,2021,Phishing,Banking,28.75,959107,Unknown,Zero-day,Antivirus,35
1737,Russia,2017,Man-in-the-Middle,IT,55.23,12439,Nation-state,Weak Passwords,Firewall,20
1738,Germany,2021,Man-in-the-Middle,Banking,14.45,292854,Nation-state,Unpatched Software,AI-based Detection,14
1739,USA,2023,Malware,Banking,66.06,189116,Insider,Social Engineering,AI-based Detection,53
1740,USA,2017,Phishing,Telecommunications,19.6,889404,Unknown,Weak Passwords,Firewall,60
1741,USA,2017,Man-in-the-Middle,Retail,58.98,566242,Nation-state,Social Engineering,VPN,63
1742,Brazil,2015,SQL Injection,IT,86.67,694491,Unknown,Unpatched Software,Firewall,65
1743,Australia,2015,DDoS,Education,51.54,297721,Nation-state,Weak Passwords,Antivirus,29
1744,China,2024,SQL Injection,Education,13.61,394335,Unknown,Zero-day,Encryption,43
1745,Japan,2016,Man-in-the-Middle,IT,57.14,590262,Insider,Unpatched Software,Antivirus,15
1746,Germany,2015,DDoS,IT,91.79,846200,Unknown,Social Engineering,AI-based Detection,26
1747,Japan,2017,Phishing,Telecommunications,89.85,44385,Hacker Group,Weak Passwords,AI-based Detection,18
1748,UK,2021,Phishing,Banking,44.7,408446,Insider,Social Engineering,VPN,43
1749,UK,2023,DDoS,Education,54.0,806965,Insider,Social Engineering,AI-based Detection,56
1750,Russia,2018,Ransomware,Education,79.93,587346,Hacker Group,Social Engineering,Antivirus,39
1751,Japan,2015,Phishing,Education,2.43,552342,Unknown,Zero-day,VPN,62
1752,France,2019,DDoS,Education,66.65,47104,Insider,Social Engineering,VPN,5
1753,USA,2016,DDoS,Retail,13.83,586557,Hacker Group,Social Engineering,AI-based Detection,37
1754,Russia,2017,Malware,Government,2.65,500857,Hacker Group,Zero-day,VPN,35
